content
20,"Filter gaji nya gausah di tentukan begitu, bagus kaya dulu bebas nulis. Kan yang kerja kita, kenapa jobstreet yang ngatur ? Situ HRD atau fasilitator pencari kerja sebenarnya ? Contoh : filter yang ada itu 6,8,10,15 lah kalo kita cari rentang 13 an kan ga bisa, harus dari 10. Lah kalo kebetulan dia carinya yg 10 gw cari yg 13, udah psikotes, interview panjang lebar ternyata ga cocok gaji nya. Kan gua buang2 waktu. Ribet banget. Heran. Lu fikir tes dan interview, kita ga cuti ? Gausah aneh2."
21,"Aplikasi tidak jelas...! Bagusan Aplikasi JOB GLIENT. Banyak lamaran Kerja yang Rekomended banget, tapi setiap kali kita mengirim Lamaran kerja, tidak satu pun yang mendapat Respon. Saya sudah mengirim puluhan Lamaran Kerja, tapi tidak ada respon sama sekali..😡"
22,"App sudah bagus, tinggal di perbaiki lagi untuk pencarian dikota/kab tertentu. Saran kl loker yg sudah closed/tutup tolong konfirmasi ke perusahaan untuk segera ditake out."
23,"Baru kemaren bgtt dapet interview bodong, ini first time nyoba cari loker lewat app kek gini eh sekalinya apply zonk, dari awal pake app langsung cantumin data kaya CV gitu jadi banyak banget panggilan interview palsu lewat email/wa, udah buang waktu tenaga buat dateng ke lokasi pas nyampe dimintai uang yang bahkan ngga sedikit, kasian bangett jobseeker yang udah dateng dari jauh dan ngeluarin uang iming² buat jaminan ini itulah tapi ternyata loker palsu. tiati buat jobseeker yang lagi berjuang"
24,"Hei developer setelah update kenapa saya tidak bisa login kedalam aplikasi jobstreet selalu loading tidak seperti pada saat sebelum update mohon maaf tapi jika seperti ini terus saya akan uninstal ,Saya sudah mengirim problem saya lewat email tapi tidak ada tanggapan saya kecewa padahal dulu jobstreet merupakan aplikasi yg bagus untuk mencari pekerjaan tetapi sekarang kacau tidak bisa login akun"
25,"Masih banyak loker palsu yang dicantumkan an. Anonim.. dan itu sangat merugikan pihak pencari kerja.. mohon untuk diperbaiki dan evaluasi lagi untuk yg mau dtampilkan. Ciri cirinya bisa direkrut yg hanya memiliki ktp saja, atau miniaml ijazah SMA dan usia max 45 tahun.. itu seringkali dihub via whatsapp dari lamaran cv yg kita cantumkan.. terimakasih"
26,"Padahal banyak persyaratan yang tidak menyulitkan pelamar tapi selalu tidak mengalami kemajuan, aplikasi ini terkesan mempermainkan pelamar yang sedang mencari pekerjaan. Maaf saya uninstall aplikasi nya karena mengecewakan 😊"
27,"Beberapa kali dpt kerjaan dr sini. Jujur Tampilan Versi terakhir sangat mengerikan, harap kembalikan seperti sebelumnya. Hilangkan fitur / link ke app lain saat melamar, aneh aja masa melamar di sini dikasih link ke app lain. Ribet 🤣"
28,Lamar di jobstreet seperti lamar di linkedin wkwkwk. Susah bgt dpt panggilan kerja drisini. Status juga tidak ada progressnya sudah smpe mana. Apk tidak rekomended buat para pencari kerja.
29,"Aplikasinya bagus, tgl 21 mei 2024 saya diminta untuk mengisi survei oleh situs ini dengan hadiah gopay Rp.100.000 setelah selesai & diharuskan menginstal apk participate, tapi kenapa saldo gopay saya tidak bertambah ya setelah saya mengikuti survei jobstreet hingga selesai ?"
30,"Saya suka dengan aplikasi.. lowongan kerja juga banyak, tapi kenapa pas buat beberapa lamaran malah yg WA saya malah penipu dan pinjol.. kanapa nomer telepon kita bisa tersebar y.."
31,"Aplikasi pencari kerja yang cukup oke lah, cuma kurang informatif, menu filter yang kurang oke, dan tampilan yang cukup jelek"
32,"Aplikasinya mulai nge-bug lagi di fitur pencarian pekerjaan gak related dengan keyword yang dicari, yg muncul malah puluhan ribu loker yg gak sesuai dengan keyword prncarian. Tolong segera diperbaiki fitur pencarian loker dengan hasil pencarian yg related dg keyword pencarian. Terimakasih."
33,"ini kenapa ketika mau masukin kata sandi, keybord yg muncul bahasa arab, pdahal waktu masukin email keybord ny bahasa indonesia"
34,"Aplikaisnya bagus, mudah juga cara penggunaanya tapi sudah banyak banget yang saya lamar satu pun belum pernah ada panggilan, semoga segra dapet panggilan kerja"
35,"Developer yang terhormat, Sejak di update dan uninstal aplikasi. Kemudian setelah instal kembali, saya tidak bisa login ke akun jobstreet, padahal jaringan internet saya stabil. Tapi kenapa loading terus ketika mau login. Tolong bantu saya login..."
36,Beri fitur filter untuk pekerjaan sesuai jurusan juga dong. Karena pencarian saat ini tidak memberi rekomendasi loker yang spesifik berdasarkan pendidikan.
37,"aplikasinya bagus, simple & mudah buat cari kerja dari pertama kali lulus kuliah th 2013 sampai sekarang lewat aplikasi ini selain lewat linked*n."
38,"Saya ada tahu beberapa lowongan yang terindikasi penipuan dengan ciri² yang saya tahu dari internet dan 1 loker yang terindikasi penipuan saya pernah datang intrvw dan dimintai uang, untung saya tolak. Sayang sekali yg dtg lebih dari 20 org wktu saya lihat. Tolonglah dibenahi dan ditindak. Loker yg 1 itu sdh saya laporkan. Tks."
39,"Mungkin jika pada menu profile ditambah tautan untuk sosial media dengan otomatisasi logo seperti github, LinkedIn & stack overflow akan lebih menarik, dikarenakan kolom informasi terlalu pendek untuk mengisi seluruh informasi tersebut."
40,Bisa ga fitur2nya dibuat seperti versi sebelumnya lebih mudah tapi lumayan lengkap
41,"Apknya bagus, tapi setelah di update banyak yang tidak sesuai dengan filter. Semoga bisa kembali ke setelan lama dengan inovasi yang lebih baik"
42,"Mungkin pilihan rentang gaji bisa disesuaikan, jangan dari 10 langsung ke 15, tapi diberikan jenjang 10,12,13 atau seperti apa."
43,"Bagus aplikasi pencarian kerjanya, ga ribet dan ga bikin bingung. Pernah dapet kerja juga dari sini. Oh ya, aplikasinya sebenarnya udh bagus, yg dulu lebih ga ribet apknya, berharap balik ke yg dlu sma ditambahin keterangan perusahaan + alamat kantor/outletnya ya biar ga bingung di mana perusahaan tersebut."
44,"Entah aplikasi yang error atau gmna, cuma pas saya search job dengan lokasi Kota semarang tidak muncul sama sekali"
